Domain Code,Domain,Reporter Country Code (FAO),Reporter Countries,Partner Country Code (FAO),Partner Countries,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","862","Alfalfa meal and pellets","2020","2020","tonnes","7402","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","862","Alfalfa meal and pellets","2020","2020","tonnes","91","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","231","Almonds shelled","2020","2020","tonnes","66","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","231","Almonds shelled","2020","2020","tonnes","13169","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","221","Almonds, with shell","2020","2020","tonnes","229","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","711","Anise, badian, fennel, coriander","2020","2020","tonnes","2","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","711","Anise, badian, fennel, coriander","2020","2020","tonnes","197","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","515","Apples","2020","2020","tonnes","85","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","515","Apples","2020","2020","tonnes","251996","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","526","Apricots","2020","2020","tonnes","738","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","527","Apricots, dry","2020","2020","tonnes","3","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","366","Artichokes","2020","2020","tonnes","3303","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","366","Artichokes","2020","2020","tonnes","1260","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5610","Import Quantity","367","Asparagus","2020","2020","tonnes","170235","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","367","Asparagus","2020","2020","tonnes","168","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5908","Export Quantity","1107","Asses","2020","2020","Head","1264","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","1107","Asses","2020","2020","tonnes","0","","Official data"
